取得時刻,職業,定員,開始,終了,体験時間,残席
2026/07/06 16:30:49,②[引越=ひっこし]マスター,5,18:30,19:14,45,5
2026/07/06 16:30:49,②[引越=ひっこし]マスター,5,19:15,19:59,45,5
2026/07/06 16:30:49,③カードクター,4,17:00,17:29,30,3
2026/07/06 16:30:49,③カードクター,4,17:30,17:59,30,2
2026/07/06 16:30:49,③カードクター,4,18:00,18:29,30,4
2026/07/06 16:30:49,④キャビンアテンダント,3,15:30,15:59,30,2
2026/07/06 16:30:49,④キャビンアテンダント,3,16:00,16:29,30,3
2026/07/06 16:30:49,④パイロット,6,15:30,15:59,30,5
2026/07/06 16:30:49,④パイロット,6,16:00,16:29,30,6
2026/07/06 16:30:49,④パイロット,6,16:30,16:59,30,3
2026/07/06 16:30:49,⑤スペースセンタークルー,6,19:00,19:29,30,6
2026/07/06 16:30:49,⑤スペースセンタークルー,6,19:30,19:59,30,6
2026/07/06 16:30:49,⑥ロードサービス[隊員=たいいん],4,15:30,15:59,30,4
2026/07/06 16:30:49,⑥ロードサービス[隊員=たいいん],4,16:00,16:29,30,4
2026/07/06 16:30:49,⑧[建設=けんせつ]エンジニア,4,18:00,18:29,30,2
2026/07/06 16:30:49,⑧[建設=けんせつ]エンジニア,4,18:30,18:59,30,4
2026/07/06 16:30:49,⑨[警察官=けいさつかん],6,15:30,15:59,30,2
2026/07/06 16:30:49,⑨[警察官=けいさつかん],6,16:00,16:29,30,3
2026/07/06 16:30:49,⑨[警察官=けいさつかん],6,16:30,16:59,30,4
2026/07/06 16:30:49,⑨[警察官=けいさつかん],6,17:00,17:29,30,5
2026/07/06 16:30:49,⑩[自衛隊員=じえいたいいん],5,18:00,18:29,30,5
2026/07/06 16:30:49,⑩[自衛隊員=じえいたいいん],5,18:30,18:59,30,5
2026/07/06 16:30:49,⑩[自衛隊員=じえいたいいん],5,19:00,19:29,30,5
2026/07/06 16:30:49,⑩[自衛隊員=じえいたいいん],5,19:30,19:59,30,5
2026/07/06 16:30:49,⑪ドライバー/メカニック,4,16:30,16:59,30,4
2026/07/06 16:30:49,⑪ドライバー/メカニック,4,17:00,17:29,30,4
2026/07/06 16:30:49,⑪ドライバー/メカニック,4,17:30,17:59,30,4
2026/07/06 16:30:49,⑫ラジオパーソナリティ,6,15:30,15:59,30,6
2026/07/06 16:30:49,⑫ラジオパーソナリティ,6,16:00,16:29,30,6
2026/07/06 16:30:49,⑫ラジオパーソナリティ,6,16:30,16:59,30,6
2026/07/06 16:30:49,⑭ダンサー,4,15:30,15:54,25,4
2026/07/06 16:30:49,⑭ダンサー,4,16:00,16:24,25,4
2026/07/06 16:30:49,⑭ダンサー,4,16:30,16:54,25,4
2026/07/06 16:30:49,⑮[弁護士=べんごし],6,17:00,17:44,45,6
2026/07/06 16:30:49,⑯お医者さん,4,15:30,15:59,30,4
2026/07/06 16:30:49,⑯お医者さん,4,16:00,16:29,30,3
2026/07/06 16:30:49,⑰[助産師=じょさんし],4,16:35,16:59,25,2
2026/07/06 16:30:49,⑰[助産師=じょさんし],4,17:05,17:29,25,4
2026/07/06 16:30:49,⑱セキュリティスタッフ,5,15:30,15:59,30,5
2026/07/06 16:30:49,⑱セキュリティスタッフ,5,16:00,16:29,30,3
2026/07/06 16:30:49,⑱セキュリティスタッフ,5,17:00,17:29,30,5
2026/07/06 16:30:49,⑱セキュリティスタッフ 救命,5,16:30,16:59,30,5
2026/07/06 16:30:49,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,18:30,18:49,20,2
2026/07/06 16:30:49,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,18:50,19:09,20,2
2026/07/06 16:30:49,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,19:10,19:29,20,2
2026/07/06 16:30:49,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,19:30,19:49,20,2
2026/07/06 16:30:49,⑳シニアケア[相談員=そうだんいん],4,15:30,15:59,30,4
2026/07/06 16:30:49,⑳シニアケア[相談員=そうだんいん],4,16:00,16:29,30,4
2026/07/06 16:30:49,⑳シニアケア[相談員=そうだんいん],4,17:00,17:29,30,4
2026/07/06 16:30:49,㉑[科学者=かがくしゃ],6,16:30,16:59,30,4
2026/07/06 16:30:49,㉑[科学者=かがくしゃ],6,17:00,17:29,30,6
