取得時刻,職業,定員,開始,終了,体験時間,残席
2026/07/06 12:30:45,②[引越=ひっこし]マスター,5,10:00,10:44,45,0
2026/07/06 12:30:45,②[引越=ひっこし]マスター,5,10:45,11:29,45,0
2026/07/06 12:30:45,②[引越=ひっこし]マスター,5,11:30,12:14,45,0
2026/07/06 12:30:45,②[引越=ひっこし]マスター,5,12:15,12:59,45,2
2026/07/06 12:30:45,②[引越=ひっこし]マスター,5,13:00,13:44,45,0
2026/07/06 12:30:45,②[引越=ひっこし]マスター,5,13:45,14:29,45,1
2026/07/06 12:30:45,③カードクター,4,12:30,12:59,30,1
2026/07/06 12:30:45,③カードクター,4,13:00,13:29,30,2
2026/07/06 12:30:45,③カードクター,4,13:30,13:59,30,0
2026/07/06 12:30:45,③カードクター,4,14:00,14:29,30,3
2026/07/06 12:30:45,④キャビンアテンダント,3,10:00,10:29,30,2
2026/07/06 12:30:45,④キャビンアテンダント,3,10:30,10:59,30,1
2026/07/06 12:30:45,④キャビンアテンダント,3,11:00,11:29,30,0
2026/07/06 12:30:45,④キャビンアテンダント,3,11:30,11:59,30,0
2026/07/06 12:30:45,④キャビンアテンダント,3,12:00,12:29,30,0
2026/07/06 12:30:45,④キャビンアテンダント,3,12:30,12:59,30,0
2026/07/06 12:30:45,④キャビンアテンダント,3,13:00,13:29,30,0
2026/07/06 12:30:45,④キャビンアテンダント,3,13:30,13:59,30,0
2026/07/06 12:30:45,④キャビンアテンダント,3,14:00,14:29,30,0
2026/07/06 12:30:45,④パイロット,6,10:00,10:29,30,1
2026/07/06 12:30:45,④パイロット,6,10:30,10:59,30,4
2026/07/06 12:30:45,④パイロット,6,11:00,11:29,30,2
2026/07/06 12:30:45,④パイロット,6,11:30,11:59,30,2
2026/07/06 12:30:45,④パイロット,6,12:00,12:29,30,3
2026/07/06 12:30:45,④パイロット,6,12:30,12:59,30,3
2026/07/06 12:30:45,④パイロット,6,13:00,13:29,30,2
2026/07/06 12:30:45,④パイロット,6,13:30,13:59,30,1
2026/07/06 12:30:45,④パイロット,6,14:00,14:29,30,1
2026/07/06 12:30:45,⑤スペースセンタークルー,6,11:00,11:29,30,0
2026/07/06 12:30:45,⑤スペースセンタークルー,6,11:30,11:59,30,6
2026/07/06 12:30:45,⑥ロードサービス[隊員=たいいん],4,10:00,10:29,30,4
2026/07/06 12:30:45,⑥ロードサービス[隊員=たいいん],4,10:30,10:59,30,4
2026/07/06 12:30:45,⑥ロードサービス[隊員=たいいん],4,11:00,11:29,30,4
2026/07/06 12:30:45,⑥ロードサービス[隊員=たいいん],4,11:30,11:59,30,2
2026/07/06 12:30:45,⑥ロードサービス[隊員=たいいん],4,12:00,12:29,30,4
2026/07/06 12:30:45,⑥ロードサービス[隊員=たいいん],4,12:30,12:59,30,2
2026/07/06 12:30:45,⑥ロードサービス[隊員=たいいん],4,13:00,13:29,30,1
2026/07/06 12:30:45,⑧[建設=けんせつ]エンジニア,4,10:00,10:29,30,3
2026/07/06 12:30:45,⑧[建設=けんせつ]エンジニア,4,10:30,10:59,30,4
